aX,aY,aZ,gX,gY,gZ,
-0.767,0.395,0.38,36.255,21.484,-1.587,
-0.764,0.411,0.413,36.377,22.705,-1.648,
-0.762,0.426,0.434,35.156,22.888,-1.343,
-0.758,0.416,0.449,38.574,23.254,-0.488,
-0.762,0.396,0.466,44.189,23.743,0.244,
-0.764,0.382,0.474,48.279,24.231,0.671,
-0.768,0.365,0.463,50.598,24.414,0.488,
-0.778,0.377,0.471,47.546,24.109,0.244,
-0.78,0.37,0.485,45.349,23.987,0.793,
-0.775,0.341,0.499,42.053,24.109,1.648,
-0.781,0.334,0.493,36.56,23.132,1.77,
